content_id,client_id,content_type,main_intent,impressions_90d,clicks_90d,clicks_last_30d,clicks_prev_30d,ctr,avg_position,days_since_last_update,model_score,baseline_score,rank,reason_codes,recommended_action
content_9d77bda04182,client_f369cb89fc,keyword article,informational,238,0,0,0,0.0,9.2,20,0.8864410100588086,0.0,63,visible in search,Investigate
content_8b12d7eb7b40,client_4e07408562,keyword article,commercial,1370,1,0,1,0.07,20.1,104,0.8864394478780071,3.611647839781157,64,recent click decline; meaningful impression volume,Investigate
content_02f3c4b06ce9,client_8527a891e2,keyword article,informational,28,0,0,0,0.0,10.5,103,0.8861010702512494,0.0,65,visible in search,Investigate
content_41baf0722ad9,client_8527a891e2,keyword article,informational,3115,0,0,0,0.0,12.8,104,0.8860314354717108,0.0,66,visible in search; meaningful impression volume,Investigate
content_24d8b73697f6,client_4e07408562,keyword article,commercial,1058,0,0,0,0.0,40.8,104,0.885856703706019,0.0,67,meaningful impression volume,Investigate
content_cb372c0a7708,client_4e07408562,keyword article,informational,1279,0,0,0,0.0,10.1,7,0.8855768206562666,0.0,68,visible in search; meaningful impression volume,Investigate
content_c8aa94ff1243,client_4e07408562,keyword article,informational,2498,6,1,1,0.24,3.4,104,0.885367867787599,0.0,69,visible in search; meaningful impression volume,Investigate
content_847c0e9b2eb6,client_bdd2d3af3a,keyword article,informational,328,0,0,0,0.0,6.9,20,0.8846980982277203,0.0,70,visible in search,Investigate
content_8ede62882d0b,client_f369cb89fc,keyword article,informational,556,0,0,0,0.0,14.3,20,0.8844595533545044,0.0,71,visible in search,Investigate
content_bb1edbf0ba6c,client_4e07408562,keyword article,commercial,1290,0,0,0,0.0,12.4,104,0.884168384370641,0.0,72,visible in search; meaningful impression volume,Investigate
content_823ea9b9b355,client_f369cb89fc,keyword article,informational,4369,0,0,0,0.0,3.9,20,0.883270570918998,0.0,73,visible in search; meaningful impression volume,Investigate
content_a9179e974712,client_f369cb89fc,keyword article,informational,384,0,0,0,0.0,18.0,20,0.8832261453971844,0.0,74,visible in search,Investigate
content_abef99f293a8,client_f369cb89fc,keyword article,informational,1310,0,0,0,0.0,13.6,20,0.8827043996906256,0.0,75,visible in search; meaningful impression volume,Investigate
